code,name,city,state,lat,lng
SNP,"San Clemente Pier, California",San Clemente Pier,CA,33.419645,-117.619733
SNS,"Salinas, California",Salinas,CA,36.679145,-121.656745
SOB,"South Bend, Indiana",South Bend,IN,41.67836,-86.287345
SOL,"Solana Beach, California",Solana Beach,CA,32.992937,-117.271135
SOP,"Southern Pines, North Carolina",Southern Pines,NC,35.175069,-79.390303
SPB,"Spartanburg, South Carolina",Spartanburg,SC,34.953736,-81.936917
SPG,"Springfield, Massachusetts",Springfield,MA,42.105987,-72.592905
SPI,"Springfield, Illinois",Springfield,IL,39.802323,-89.651384
SPK,"Spokane, Washington",Spokane,WA,47.65672,-117.415455
SPL,"Staples, Minnesota",Staples,MN,46.354601,-94.795331
SPM,"South Shore-South Portsmouth, Kentucky",South Portsmouth,KY,38.721281,-82.963751
SPT,"Sandpoint, Idaho",Sandpoint,ID,48.276234,-116.545583
SRB,"Sorrento Valley, CA",Sorrento Valley,CA,32.902684,-117.224892
SSM,"Selma, North Carolina",Selma-Smithfield,NC,35.532786,-78.280099
STA,"Staunton, Virginia",Staunton,VA,38.147639,-79.071776
STL,"St. Louis, Missouri",St. Louis,MO,38.624461,-90.203838
STM,"Stamford, Connecticut",Stamford,CT,41.04713,-73.54216
STN,"Stanley, North Dakota",Stanley,ND,48.319813,-102.389379
STW,"Stanwood, WA",Stanwood,WA,48.242638,-122.349935
SUI,"Suisun, California",Suisun-Fairfield,CA,38.243401,-122.041099
SVT,"Sturtevant, Wisconsin",Sturtevant,WI,42.718292,-87.9063
SYR,"Syracuse, New York",Syracuse,NY,43.076548,-76.169244
TAC,"Tacoma, Washington",Tacoma,WA,47.241894,-122.420509
TAY,"Taylor, Texas",Taylor,TX,30.567667,-97.407763
TCA,"Toccoa, Georgia",Toccoa,GA,34.578456,-83.331542
TCL,"Tuscaloosa, Alabama",Tuscaloosa,AL,33.193165,-87.560228
THN,"Thurmond, West Virginia",Thurmond,WV,37.956986,-81.078754
TLH,"Tallahassee, Florida",Tallahassee,FL,30.432611,-84.289348
TOH,"Tomah, Wisconsin",Tomah,WI,43.986007,-90.505331
TOL,"Toledo, Ohio",Toledo,OH,41.638345,-83.541721
TOP,"Topeka, Kansas",Topeka,KS,39.051415,-95.664916
TPA,"Tampa, Florida",Tampa,FL,27.952492,-82.450777
TPL,"Temple, Texas",Temple,TX,31.095883,-97.345792
TRE,"Trenton, New Jersey",Trenton,NJ,40.219011,-74.75444
TRI,"Trinidad, Colorado",Trinidad,CO,37.172688,-104.507981
TRK,"Turlock-Denair, California",Turlock-Denair,CA,37.527229,-120.798009
TRM,"Troy, MI",Troy,MI,42.542555,-83.191026
TRU,"Truckee, California",Truckee,CA,39.327616,-120.185387
TUK,"Tukwila, Washington",Tukwila,WA,47.461081,-122.240254
TUS,"Tucson, Arizona",Tucson,AZ,32.222977,-110.96677
TXA,"Texarkana, Arkansas",Texarkana,AR,33.420067,-94.043082
TYR,"Tyrone, Pennsylvania",Tyrone,PA,40.667705,-78.24047
UCA,"Utica, New York",Utica,NY,43.103892,-75.223434
VAN,"Vancouver, Washington, United States",Vancouver,WA,45.628901,-122.686544
VEC,"Ventura, California",Ventura,CA,34.276929,-119.299918
VNC,"Van Nuys (Amtrak), California",Van Nuys,CA,34.211294,-118.448206
VRV,"Victorville, California",Victorville,CA,34.5372,-117.292956
WAB,"Waterbury, Vermont",Waterbury-Stowe,VT,44.335011,-72.751806
WAC,"Wasco, California",Wasco,CA,35.594092,-119.332309
WAH,"Washington, Missouri",Washington,MO,38.561466,-91.012717
WAR,"Warrensburg, Missouri",Warrensburg,MO,38.76275,-93.7409
WAS,"Washington, District of Columbia",Washington,DC,38.896993,-77.006422
WBG,"Williamsburg, Virginia",Williamsburg,VA,37.276414,-76.708564
WDB,"Woodbridge, Virginia",Woodbridge,VA,38.658915,-77.247852
WDL,"Wisconsin Dells, Wisconsin",Wisconsin Dells,WI,43.626509,-89.777451
WEM,"Wells, Maine",Wells,ME,43.320836,-70.612192
WEN,"Wenatchee, Washington",Wenatchee,WA,47.421556,-120.306552
WFD,"Wallingford, Connecticut",Wallingford,CT,41.456969,-72.825221
WFH,"Whitefish, Montana",Whitefish,MT,48.413474,-114.335575
WGL,"West Glacier, Montana",West Glacier,MT,48.496218,-113.979164
WHL,"Whitehall, New York",Whitehall,NY,43.554694,-73.403207
WIH,"Wishram, Washington",Wishram,WA,45.657669,-120.966142
WIL,"Wilmington, Delaware",Wilmington,DE,39.737263,-75.551095
WIN,"Winona, Minnesota",Winona,MN,44.044404,-91.640073
WIP,"Winter Park/Fraser, Colorado",Fraser-Winter Park,CO,39.947566,-105.817388
WLN,"Wilson, North Carolina",Wilson,NC,35.723135,-77.908029
WLO,"Winslow, Arizona",Winslow,AZ,35.021666,-110.694981
WLY,"Westerly, Rhode Island",Westerly,RI,41.381081,-71.82978
WMJ,"Williams Junction, Arizona",Williams Junction,AZ,35.25195,-112.190106
WND,"Windsor, Connecticut",Windsor,CT,41.852013,-72.642253
WNL,"Windsor Locks, Connecticut",Windsor Locks,CT,41.913956,-72.626101
WNM,"Windsor, Vermont",Windsor-Mt. Ascutney,VT,43.479908,-72.384958
WNN,"Winnemucca, Nevada",Winnemucca,NV,40.969044,-117.73221
WNR,"Walnut Ridge, Arkansas",Walnut Ridge,AR,36.06766,-90.956766
WOB,"Woburn, Massachusetts",Woburn,MA,42.517358,-71.143823
WOR,"Worcester, Massachusetts",Worcester,MA,42.261478,-71.794812
WPB,"West Palm Beach, Florida",West Palm Beach,FL,26.712554,-80.062184
WPK,"Winter Park, Florida",Winter Park,FL,28.597106,-81.352009
WPT,"Wolf Point, Montana",Wolf Point,MT,48.091672,-105.642736
WRJ,"White River Jct., Vermont",White River Junction,VT,43.647785,-72.317272
WSP,"Westport, New York",Westport,NY,44.187288,-73.451773
WSS,"White Sulphur Springs, West Virginia",White Sulphur Springs,WV,37.786443,-80.304004
WTH,"Winter Haven, Florida",Winter Haven,FL,28.002146,-81.734878
WTI,"Waterloo, Indiana",Waterloo,IN,41.431816,-85.024298
WTN,"Williston, North Dakota",Williston,ND,48.143,-103.620926
YAZ,"Yazoo City, Mississippi",Yazoo City,MS,32.848477,-90.41523
YEM,"Yemassee, South Carolina",Yemassee,SC,32.688286,-80.846901
YNY,"Yonkers, New York",Yonkers,NY,40.935586,-73.902263
YUM,"Yuma, Arizona",Yuma,AZ,32.723139,-114.615571
